"","gq6_1","gq6_2","gq6_3","gq6_4","gq6_5","gq6_6","gac_1","gac_2","gac_3","losd_1","losd_2","losd_3","losd_4","losd_5","losd_6","sa_1","sa_2","sa_3","sa_4","sa_5","sa_6","ao_1","ao_2","ao_3","ao_4"
"1",6,5,3,6,5,5,3,3,4,9,5,4,5,6,2,8,7,9,4,7,7,7,7,8,6
"2",6,7,7,7,5,6,2,3,3,8,3,1,1,1,1,6,3,1,2,5,6,9,7,5,6
"3",7,7,6,7,7,7,5,5,5,9,1,1,1,1,3,9,1,9,5,9,9,9,9,9,9
"4",7,6,7,6,6,5,5,5,5,9,4,1,1,1,3,9,5,9,1,9,8,9,9,9,9
"5",6,6,6,6,6,6,4,4,4,8,7,7,5,5,7,8,7,6,5,6,8,9,8,6,7
"6",7,7,6,7,7,4,4,5,5,9,2,4,8,9,5,4,3,5,7,8,8,8,8,7,5
"7",6,6,7,6,6,4,3,4,4,8,1,2,3,1,1,3,5,6,5,9,9,8,7,8,7
"8",3,1,2,5,5,3,3,4,4,3,5,7,3,3,7,3,1,1,5,5,7,3,7,3,3
"9",7,6,3,6,5,3,4,5,5,7,3,1,1,1,4,4,2,2,2,6,7,7,5,7,7
"10",7,7,7,7,7,7,5,5,5,9,5,5,5,9,9,7,6,5,8,8,8,9,7,9,9
"11",6,4,5,5,7,5,5,4,5,7,5,2,2,3,3,3,7,7,3,7,4,7,8,2,5
"12",6,7,7,6,6,5,4,5,4,8,4,2,1,2,5,5,7,6,7,9,9,8,6,5,6
"13",7,7,7,6,6,7,5,5,5,8,1,1,1,2,1,4,2,7,2,2,9,7,7,4,9
"14",4,3,3,3,3,4,2,2,3,4,6,5,4,4,6,5,2,5,3,4,5,4,5,4,4
"15",7,7,7,6,7,6,5,5,5,9,1,1,1,1,1,9,4,8,9,7,9,9,9,9,9
"16",6,6,6,6,6,4,4,4,4,8,5,5,3,3,3,5,5,5,6,6,7,8,6,7,8
"17",7,7,7,7,7,1,4,5,5,9,1,1,1,1,1,5,5,1,1,9,9,8,9,9,9
"18",6,7,7,6,7,2,3,3,3,9,8,6,2,9,7,3,7,1,7,9,9,9,4,6,7
"19",7,7,7,7,7,7,5,5,5,8,1,1,1,1,2,7,8,9,5,7,9,9,8,9,9
"20",6,7,7,4,4,5,2,2,2,5,6,5,5,5,7,7,5,1,5,7,9,7,9,6,7
"21",5,4,3,4,4,4,3,4,3,5,7,7,7,7,7,1,1,3,3,3,3,7,5,5,5
"23",7,6,3,3,6,6,4,5,5,6,8,5,8,4,8,9,2,5,3,3,9,7,7,6,9
"24",6,7,7,6,6,6,4,4,4,8,2,2,4,2,3,3,5,4,7,8,9,8,8,5,8
"25",7,7,7,7,7,4,5,5,5,9,6,7,1,1,1,1,1,9,9,9,9,6,9,9,9
"26",7,7,7,7,7,6,3,5,5,8,6,1,1,1,8,5,7,1,9,9,9,6,9,9,7
"27",7,7,7,7,1,7,5,5,5,9,1,1,1,9,1,1,1,3,1,1,9,9,7,1,9
"28",7,7,7,6,6,4,5,5,5,8,8,7,7,8,7,6,6,7,7,9,9,9,7,9,8
"29",7,7,7,7,6,4,5,5,5,2,1,1,1,1,1,7,5,9,9,9,9,1,8,8,9
"30",5,4,4,5,6,3,2,2,2,3,4,5,3,6,7,2,1,9,8,6,8,7,8,5,5
"31",6,7,6,6,6,5,4,4,5,7,3,6,4,4,7,5,3,5,7,9,9,7,6,7,9
"33",6,6,6,5,5,6,4,4,4,7,3,2,3,5,2,5,5,7,6,7,9,8,7,6,7
"34",7,7,7,7,7,6,4,5,5,7,9,2,1,9,1,7,9,6,8,9,9,9,9,9,9
"35",6,6,6,6,7,2,4,5,4,7,5,7,8,6,9,4,6,6,8,7,9,9,8,8,8
"37",6,6,3,6,6,3,4,4,4,7,1,1,1,1,1,3,1,7,9,9,9,7,8,7,8
"38",7,7,7,6,6,4,4,5,4,9,9,1,7,6,9,5,1,8,9,9,9,9,5,9,3
"39",6,6,6,6,6,5,4,4,4,7,2,1,2,2,2,5,5,6,7,8,6,8,7,6,7
"40",7,6,6,7,7,6,4,5,5,8,3,3,5,5,5,7,4,6,6,7,9,5,8,9,7
"41",6,4,5,4,4,4,3,3,4,5,5,3,5,5,5,5,5,5,6,6,5,7,6,6,7
"42",7,7,6,6,7,3,4,4,4,6,4,4,4,4,4,4,5,7,4,6,9,6,5,5,8
"44",4,4,5,4,5,3,3,3,4,8,5,5,4,5,7,4,3,2,3,4,5,6,5,4,5
"45",7,7,7,7,7,7,5,5,5,9,1,1,3,1,1,5,1,9,7,7,9,9,9,9,9
"46",7,6,6,6,7,2,4,5,4,9,4,1,4,2,5,6,6,2,2,8,9,8,7,9,8
"47",6,6,7,6,6,7,4,4,4,8,2,1,2,1,1,7,8,6,1,7,7,6,6,5,6
"48",7,7,6,7,7,6,5,4,5,9,3,1,1,1,1,5,6,7,7,9,9,7,9,9,9
"49",7,7,5,5,6,2,4,3,4,6,5,7,6,7,4,4,3,8,9,7,9,9,7,7,9
"50",7,7,6,6,7,5,5,5,5,8,1,1,1,1,1,2,1,5,2,9,9,8,9,9,9
"51",7,7,7,7,6,7,4,4,4,9,2,1,2,1,1,7,8,7,7,8,8,9,8,8,8
"52",7,7,7,7,7,7,5,5,5,9,1,1,1,7,1,7,7,7,9,9,9,9,9,7,9
"53",5,5,5,4,4,5,4,4,4,6,3,4,6,4,6,2,4,4,4,6,4,6,6,4,5
"54",6,4,6,4,5,5,4,4,4,6,3,4,2,3,3,4,3,5,7,9,9,9,5,5,9
"55",6,7,7,5,6,2,4,4,4,8,1,1,1,1,1,4,1,1,1,8,6,7,6,6,6
"56",7,7,7,7,7,1,5,5,5,8,1,2,2,2,8,7,5,7,7,9,8,9,9,9,9
"57",7,7,6,7,7,6,4,5,5,8,2,1,5,2,3,5,6,5,2,8,7,9,8,9,9
"59",4,4,4,4,4,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"60",7,7,4,7,7,3,5,5,5,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"61",5,3,6,5,6,6,4,3,3,9,5,2,3,5,5,6,7,1,5,9,9,5,6,4,7
"62",7,7,7,7,7,2,5,5,5,9,8,5,3,3,8,1,7,1,3,9,9,7,9,9,8
"63",7,7,7,6,6,4,4,5,5,8,3,4,2,4,5,6,6,7,7,7,7,8,7,9,8
"64",7,7,7,7,7,7,5,5,5,9,1,1,1,1,1,3,1,1,5,9,9,9,9,9,9
"65",4,5,4,5,6,5,3,3,3,9,1,1,3,1,1,2,5,5,1,5,9,1,3,1,7
"66",7,6,6,7,6,6,4,5,5,8,3,2,2,3,5,2,4,4,4,7,9,8,7,7,8
"67",6,5,6,6,6,5,4,4,4,7,5,5,5,3,3,5,3,5,5,7,7,7,7,7,7
"68",7,6,5,7,6,4,5,5,5,8,4,7,3,4,6,6,7,6,9,7,9,7,9,8,5
"69",7,7,7,7,7,7,4,5,5,7,7,3,8,9,9,6,5,5,9,9,9,7,9,6,9
"70",6,7,6,6,7,6,5,5,5,9,1,1,1,3,3,5,7,5,7,8,8,7,8,9,7
"71",5,4,5,5,5,5,3,4,4,7,2,3,3,3,3,4,1,1,2,4,6,5,3,5,4
"72",7,6,6,7,7,2,5,5,5,9,7,1,3,5,7,5,3,5,7,9,9,7,9,9,9
"73",7,7,7,6,6,2,5,5,5,7,1,2,1,1,1,5,1,5,5,9,9,9,6,9,8
"75",6,6,6,7,7,5,4,5,5,8,2,6,7,3,3,7,6,7,5,6,9,8,8,8,7
"76",7,7,7,4,7,7,4,5,5,9,1,1,1,3,1,1,2,9,7,8,9,3,9,8,9
"77",7,7,6,5,4,5,5,5,5,9,6,1,1,2,1,5,5,5,4,8,5,8,5,7,9
"78",5,5,4,6,5,4,4,4,4,8,5,5,4,4,6,4,3,4,4,6,7,7,7,5,7
"79",7,6,7,5,7,3,4,4,4,9,5,9,9,9,9,3,9,7,7,9,9,9,7,9,9
"80",7,7,6,6,7,2,5,5,5,7,2,1,1,2,2,2,9,8,8,8,9,7,8,9,9
"81",7,7,7,7,7,6,5,5,5,9,1,1,1,1,1,7,5,5,9,7,9,9,9,7,9
"82",7,7,7,7,6,6,5,5,5,7,5,5,7,7,7,7,7,9,8,8,9,9,9,9,9
"83",6,6,6,4,4,3,4,4,4,7,5,4,9,5,8,5,5,9,5,8,9,9,8,9,8
"84",7,7,7,7,7,7,5,5,5,7,5,2,1,1,6,9,9,9,9,9,9,9,8,8,9
"85",6,4,7,7,7,2,3,4,3,9,5,5,3,5,2,7,1,8,9,7,9,8,9,8,9
"86",7,7,7,7,7,1,5,5,5,9,1,1,1,1,9,1,1,1,9,9,9,9,9,9,9
"87",6,7,5,6,6,2,3,4,5,9,3,5,3,2,6,4,6,5,7,7,8,7,9,8,8
"89",7,7,7,7,7,7,5,5,5,9,2,1,1,1,5,7,5,5,8,9,9,9,9,9,9
"90",7,7,7,7,7,7,5,5,4,8,3,2,3,2,4,7,9,7,8,9,9,9,9,9,9
"91",6,4,6,4,5,2,5,5,4,5,1,1,9,3,1,1,1,3,5,5,9,7,5,5,7
"92",6,4,5,3,4,5,3,4,4,8,3,5,3,2,5,3,1,1,4,6,8,4,7,5,5
"93",5,6,6,5,7,3,4,4,5,6,6,4,2,6,6,2,4,2,6,4,4,2,6,6,2
"94",6,7,7,5,7,4,5,5,5,8,5,3,1,5,7,5,4,2,5,7,9,8,7,9,9
"95",7,7,6,3,6,4,5,5,5,7,3,1,1,2,1,3,1,2,5,8,9,9,7,9,9
"96",6,6,6,5,4,7,3,4,4,8,7,6,7,7,7,3,4,6,6,9,8,8,7,5,8
"97",7,7,7,6,6,3,5,5,5,9,8,1,1,1,3,7,5,9,5,7,9,8,8,8,8
"98",7,7,7,7,7,7,5,5,5,9,1,1,1,1,1,7,3,4,6,7,9,6,5,5,8
"99",7,7,7,7,7,4,5,5,5,9,8,1,1,4,1,7,4,9,9,9,9,9,9,9,9
"100",7,7,7,7,7,3,5,5,5,9,2,2,1,1,1,8,9,9,9,9,9,9,9,9,9
"101",6,7,6,5,6,7,4,4,4,7,3,3,3,3,5,5,3,5,7,7,9,7,7,7,7
"102",6,5,1,6,7,2,5,5,5,7,7,9,7,7,3,5,5,5,3,7,7,9,7,7,9
"103",5,6,5,6,6,3,4,4,4,8,7,3,7,8,5,3,6,5,5,4,9,7,6,6,6
"104",7,7,1,7,6,5,3,4,5,9,8,9,9,9,9,5,3,2,3,4,7,5,5,6,9
"106",3,7,2,4,5,4,3,3,3,3,9,5,4,3,5,8,9,5,9,8,5,1,5,7,3
"107",7,7,1,6,7,3,2,5,5,9,7,9,9,9,7,3,5,1,5,9,9,9,7,5,9
"108",6,6,1,5,6,3,5,4,5,7,9,7,7,9,9,3,7,5,5,9,9,9,9,9,9
"109",6,6,6,6,6,6,2,3,5,9,1,9,1,1,9,9,1,7,7,9,9,6,5,8,9
"110",6,5,5,6,6,6,4,4,5,8,1,2,4,1,1,5,5,8,6,8,8,1,9,9,8
"111",7,7,7,6,7,6,4,5,5,8,1,2,8,2,6,8,5,9,8,9,9,9,9,9,9
"112",7,6,4,6,6,3,4,5,5,9,6,5,3,5,4,5,4,6,5,7,9,7,6,6,6
"113",7,7,7,7,6,6,5,5,5,9,1,1,1,1,1,8,7,9,9,9,9,9,9,9,9
"114",5,5,3,5,5,3,4,4,4,6,2,1,1,1,2,1,1,6,2,7,7,6,2,5,1
"115",7,6,7,7,6,7,5,5,5,5,1,1,1,1,1,9,4,6,8,7,9,6,6,5,9
"117",7,7,7,7,7,7,5,5,5,7,1,1,9,1,1,2,2,3,2,6,6,8,7,8,7
"118",6,5,7,6,7,3,5,4,4,9,1,1,1,1,7,3,1,9,3,7,8,8,9,5,8
"119",7,7,7,7,6,7,5,5,5,9,1,1,1,1,1,7,6,7,8,7,8,9,8,8,8
"121",7,7,7,6,7,3,5,5,5,9,1,3,1,2,3,6,5,4,5,9,8,7,9,9,9
"122",6,6,6,6,7,1,4,5,4,9,2,1,3,1,5,5,1,7,8,7,9,9,8,8,8
"123",7,7,7,6,6,3,4,5,5,8,3,2,1,2,4,5,2,5,2,7,8,8,6,7,7
"124",7,7,6,6,7,4,4,4,5,7,6,3,7,2,5,7,1,6,9,7,8,8,8,8,8
"125",7,7,7,6,6,6,5,5,5,9,1,1,1,1,1,9,5,9,9,9,7,7,7,7,7
"126",7,7,6,6,7,6,5,5,5,8,2,2,2,5,3,5,7,8,7,8,9,9,5,9,9
"127",7,7,7,7,7,1,5,5,5,9,1,1,4,1,1,1,9,9,9,3,9,1,9,9,9
"128",6,6,7,7,7,6,5,5,3,8,1,5,1,1,5,5,4,9,9,9,9,5,9,9,9
"129",7,7,7,7,7,1,5,5,5,9,1,1,1,1,1,5,1,3,3,8,9,9,8,7,9
"130",7,6,7,6,7,7,5,4,5,7,9,7,7,8,6,4,4,6,9,7,9,6,6,6,7
"131",7,6,7,6,6,6,5,5,5,8,2,3,6,2,3,4,5,6,7,7,8,1,9,8,9
"132",7,7,7,6,7,6,4,5,4,9,1,1,2,6,1,5,2,4,4,9,8,9,9,7,9
"133",7,7,7,6,6,2,4,4,4,7,5,5,5,5,5,5,5,5,5,5,5,9,5,5,5
"134",7,7,6,6,6,3,5,5,5,7,5,5,1,3,3,3,3,3,7,5,5,7,5,5,7
"135",7,6,7,7,6,6,5,5,5,9,2,2,2,1,1,8,2,8,7,8,9,1,9,8,9
"136",7,7,7,6,6,7,5,5,5,9,1,1,2,1,1,4,9,8,8,9,9,9,9,9,9
"137",7,7,7,7,6,6,5,5,5,9,1,1,1,2,1,5,1,5,3,9,9,9,8,9,9
"138",7,7,7,7,7,4,5,5,5,5,1,8,7,5,5,5,6,5,2,7,7,8,7,9,9
"140",7,7,7,7,7,6,5,5,4,9,1,1,1,1,1,2,2,2,5,8,9,8,8,2,8
"141",7,7,3,4,5,6,5,4,4,9,8,2,1,3,4,5,1,1,9,8,5,3,8,7,8
"142",6,6,6,6,6,6,4,4,4,8,3,1,1,1,2,2,5,4,1,8,8,2,7,8,8
"143",5,5,5,5,6,4,4,4,4,5,5,9,7,3,7,3,3,7,5,7,3,9,3,9,9
"144",7,7,7,6,7,6,5,5,4,7,1,1,1,3,5,1,3,9,9,9,9,9,7,9,9
"145",6,7,7,7,7,2,5,5,5,8,1,1,1,1,5,7,6,6,9,7,9,7,8,8,9
"146",7,7,6,6,6,2,4,4,4,9,3,3,2,2,2,7,5,7,4,7,9,8,8,6,8
"147",6,6,6,6,6,2,4,5,5,6,2,2,2,3,4,5,3,3,3,7,9,6,6,7,7
"148",7,7,7,7,7,7,5,5,5,9,5,3,3,3,1,5,9,7,1,9,9,1,7,9,9
"149",7,6,6,6,7,5,4,5,4,8,9,3,4,3,2,8,7,9,9,9,9,9,8,8,9
"150",7,6,7,7,7,4,3,3,4,8,2,5,8,1,9,4,1,1,1,1,7,1,9,9,9
"151",7,7,7,6,7,4,4,4,4,8,2,1,2,1,1,1,2,3,5,6,9,7,7,5,7
"152",5,6,6,5,4,5,4,4,4,7,4,3,3,3,4,5,7,6,4,7,7,5,6,5,5
"153",5,4,6,4,4,4,4,4,4,6,3,4,3,3,5,4,2,3,5,6,5,1,6,4,6
"154",6,5,7,6,7,2,4,5,5,7,5,1,7,3,7,1,9,5,5,9,5,9,5,7,7
"155",3,4,7,2,1,7,3,4,4,5,1,2,2,1,1,4,1,1,1,2,2,5,5,6,6
"156",7,6,7,7,6,7,4,5,4,8,1,3,5,1,1,4,9,6,8,9,9,6,6,7,9
"157",6,7,7,6,7,4,5,5,5,8,3,8,2,2,3,5,8,8,8,8,9,8,9,8,8
"158",5,4,6,7,4,4,2,5,5,9,7,5,3,3,3,5,3,5,7,7,9,9,9,9,9
"159",5,4,6,6,6,1,3,4,4,4,2,7,7,5,7,5,1,4,5,6,7,3,7,5,5
"160",6,7,7,7,7,6,5,5,5,4,1,1,1,1,1,8,8,1,6,7,4,7,9,7,4
"161",7,7,7,6,7,7,5,5,5,9,2,2,1,2,2,3,5,1,3,6,9,9,8,8,9
"162",7,7,7,7,7,7,5,5,5,9,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9
"163",6,6,6,7,6,4,4,5,5,6,1,5,3,6,5,5,6,6,6,7,7,7,7,6,5
"164",4,5,7,4,5,3,3,3,4,9,3,5,3,1,1,1,1,1,1,5,5,7,7,5,5
"165",6,6,6,6,6,3,4,4,4,8,5,3,2,8,8,1,5,8,8,8,8,8,8,8,8
"166",7,7,7,7,7,7,5,5,5,9,1,1,1,1,1,9,1,1,9,9,9,9,9,9,9
"167",7,7,7,6,7,3,5,5,5,9,1,1,1,2,9,9,1,7,9,9,9,9,7,9,7
"168",7,7,7,7,7,4,5,5,5,9,1,1,1,1,1,8,6,7,7,8,9,9,5,7,9
"169",7,6,7,1,7,2,5,5,5,9,7,1,1,1,1,6,5,5,5,7,9,9,9,9,9
"170",7,7,7,7,7,7,5,5,5,9,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9
"171",5,4,5,3,4,4,5,5,5,6,4,5,5,4,5,4,1,3,3,4,6,6,7,4,6
"172",7,7,7,6,6,4,5,5,5,9,3,1,1,3,3,5,3,3,3,5,5,9,7,3,7
"173",5,5,7,5,6,6,4,4,5,7,2,5,1,1,1,4,1,4,5,6,3,1,6,3,7
"174",7,7,6,7,7,7,5,5,5,9,1,2,7,1,1,6,9,8,8,9,9,8,7,7,9
"175",6,5,6,7,6,5,4,3,4,7,3,2,4,1,2,3,5,8,5,7,9,1,6,9,9
"176",7,5,7,5,6,7,5,5,5,9,2,1,1,7,1,1,2,6,5,3,9,9,8,8,8
"177",4,4,4,5,6,3,4,4,5,8,1,1,5,1,7,5,4,9,5,9,9,5,5,9,9
"178",4,4,3,5,4,4,2,2,2,5,5,5,5,5,7,7,7,1,1,5,9,5,5,5,5
"179",6,6,6,5,6,3,4,4,5,6,2,2,3,1,5,3,7,2,1,5,6,7,6,6,7
"180",7,6,6,4,4,5,3,3,4,6,3,2,9,4,8,4,1,5,5,6,6,7,8,8,9
"181",4,4,3,5,5,2,3,4,4,5,6,7,5,6,5,4,1,2,5,6,2,7,4,3,3
"183",7,7,7,7,7,7,5,5,5,9,1,1,1,1,1,5,3,9,9,9,9,9,9,9,9
"184",7,2,6,5,6,4,3,4,3,9,1,1,1,4,1,2,5,8,5,6,9,9,3,9,9
"185",7,7,7,7,7,7,5,5,5,9,1,1,1,9,1,9,9,7,7,9,9,9,9,9,9
"186",6,6,5,5,6,3,3,4,5,8,3,3,3,2,5,5,5,5,5,9,9,8,8,8,8
"187",7,7,6,7,6,4,5,4,5,9,2,1,4,2,3,7,6,8,9,8,9,8,8,8,8
"188",7,6,7,7,7,6,4,5,4,9,1,2,1,3,1,6,6,6,9,8,9,7,8,7,9
"190",5,7,6,4,7,4,3,5,4,9,5,1,9,9,5,1,1,1,1,5,7,1,9,9,7
"191",7,7,7,6,6,7,5,5,5,9,1,1,1,1,1,1,5,4,8,7,7,9,9,8,9
"193",7,7,7,7,7,1,5,5,5,9,2,2,1,2,2,8,8,9,9,4,9,9,9,9,9
"194",6,7,7,7,7,2,3,3,3,7,3,1,5,5,6,2,1,2,6,7,7,9,8,7,7
"195",7,7,7,7,6,6,5,4,5,9,1,1,4,2,6,7,8,6,9,8,9,8,8,8,8
"197",7,7,7,7,7,6,5,5,5,8,1,1,7,2,1,6,4,2,3,8,9,9,8,7,8
"198",6,6,6,6,6,6,4,4,4,8,2,4,2,3,2,6,6,7,6,6,7,8,7,7,6
"199",6,6,6,6,7,2,4,4,4,7,7,7,1,5,5,7,5,1,1,7,9,8,8,7,7
"200",7,7,7,7,6,6,5,5,5,9,5,1,1,1,2,8,8,7,7,9,9,8,8,9,9
"201",6,6,4,4,5,3,4,3,5,9,2,1,1,1,1,1,2,1,9,1,2,3,4,4,4
"202",6,6,6,4,5,4,4,4,4,8,2,3,1,1,1,5,6,7,7,9,6,5,5,6,7
"203",6,4,3,4,6,6,3,3,3,6,8,6,4,5,5,2,1,2,5,5,6,5,5,3,6
"204",6,6,2,6,6,2,3,4,5,9,7,6,9,9,9,7,7,9,9,9,9,8,3,8,9
"205",7,7,3,7,7,1,5,5,5,9,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9
"206",6,7,2,6,7,2,4,5,5,8,9,9,9,9,9,5,1,5,1,7,7,8,7,7,7
"207",6,6,1,5,6,5,4,4,4,6,9,9,9,8,4,9,5,5,9,5,7,6,8,6,6
"208",6,6,5,5,7,6,4,4,4,8,5,3,1,5,5,9,5,8,5,7,6,5,7,7,6
"209",6,6,7,6,6,6,4,4,4,9,1,2,1,1,2,6,9,8,7,7,7,9,8,9,8
"210",6,6,2,6,5,2,4,5,4,8,7,6,8,6,7,9,6,9,6,7,9,9,8,7,8
"211",4,6,3,6,6,7,2,2,2,6,7,5,5,8,7,3,9,9,7,8,7,7,7,4,5
"212",7,6,7,7,5,7,5,5,5,9,1,1,1,1,6,5,2,1,1,8,9,9,9,9,9
"213",5,6,6,6,6,4,4,2,3,6,2,5,5,6,6,3,3,3,5,6,7,7,5,6,6
"214",6,6,6,6,6,6,2,2,3,7,5,1,3,1,5,9,5,5,5,7,7,3,7,7,7
"215",7,6,7,7,7,6,4,5,5,7,5,2,7,6,5,8,8,7,8,8,8,5,8,9,9
"216",6,7,6,5,6,7,5,5,5,9,2,1,5,2,2,6,8,9,6,6,9,7,9,6,8
"217",7,6,6,6,7,5,4,4,4,8,1,2,2,3,3,5,6,4,5,6,9,6,7,6,6
"218",5,5,2,7,6,4,3,4,5,5,3,5,5,5,5,9,1,1,9,3,9,7,7,7,7
"219",7,7,7,7,7,2,4,4,5,2,3,6,9,8,6,4,7,9,2,7,7,7,4,9,6
"220",7,6,2,6,6,2,5,5,5,9,7,7,1,1,2,6,1,1,1,6,8,7,9,9,8
"221",6,6,6,4,5,4,3,3,3,7,4,7,5,5,6,7,1,7,2,7,9,8,7,7,8
"222",7,7,7,7,7,7,5,5,5,8,1,1,8,3,1,1,1,1,9,8,9,8,5,9,9
"223",7,7,7,7,7,6,5,5,5,8,2,3,1,2,2,9,8,8,3,8,9,9,9,7,8
"224",7,7,1,7,7,1,5,5,5,9,1,1,1,1,1,1,9,9,1,9,9,9,9,9,9
"225",7,7,7,7,7,3,5,4,5,9,2,1,2,1,2,8,7,7,8,9,9,9,9,9,9
"226",6,6,7,7,7,7,5,5,4,7,2,1,2,2,1,8,9,1,1,5,8,5,8,7,7
"227",6,5,6,6,6,3,5,5,5,9,3,1,1,2,6,6,3,3,1,9,6,9,8,8,9
"228",7,7,7,7,7,6,5,5,5,9,1,1,1,1,1,6,5,9,9,9,9,8,8,8,9
"229",7,7,7,7,7,6,5,5,5,9,1,1,5,2,1,5,5,5,8,8,9,9,8,8,9
"230",7,7,6,5,6,4,1,5,4,9,5,1,2,1,2,5,6,9,9,9,9,9,9,9,9
"231",6,6,5,2,4,2,4,4,4,5,4,3,6,5,6,4,5,4,8,7,9,7,8,5,5
"232",7,7,6,6,7,2,4,5,5,9,2,1,1,1,2,8,2,2,2,7,9,9,9,8,9
"233",6,6,6,6,6,6,4,4,4,9,7,1,2,2,8,8,7,6,6,7,9,1,6,7,9
"234",2,2,4,3,5,6,4,5,5,7,9,9,4,2,8,5,3,3,6,5,9,1,8,1,7
"235",7,7,7,7,7,2,4,5,4,8,2,2,5,2,2,6,8,8,5,9,9,9,8,8,9
